SampleID,cultivar,rep,rep_loc,location,treatment,batch,sample_type
201,B18504,2,UP2,UP,shelter,1,sample
204,Rosetta,2,UP2,UP,open,1,sample
2007,R99,2,LP2,LP,shelter,1,sample
202,B18504,2,UP2,UP,open,1,sample
108,Cayenne,1,UP1,UP,open,1,sample
1001,R99,1,LP1,LP,shelter,1,sample
405,Cayenne,4,UP4,UP,shelter,1,sample
401,Rosetta,4,UP4,UP,shelter,1,sample
Mock1,,,,,,1,positive
NegCon1,,,,,,1,negative
406,Cayenne,4,UP4,UP,open,2,sample
4004,Rosetta,4,LP4,LP,open,2,sample
106,R99,1,UP1,UP,open,2,sample
2003,Cayenne,2,LP2,LP,shelter,2,sample
103,Rosetta,1,UP1,UP,shelter,2,sample
2008,R99,2,LP2,LP,open,2,sample
3006,Rosetta,3,LP3,LP,open,2,sample
307,Rosetta,3,UP3,UP,shelter,2,sample
Mock2,,,,,,2,positive
NegCon2,,,,,,2,negative
107,Cayenne,1,UP1,UP,shelter,3,sample
302,B18504,3,UP3,UP,open,3,sample
2005,B18504,2,LP2,LP,shelter,3,sample
105,R99,1,UP1,UP,shelter,3,sample
205,R99,2,UP2,UP,shelter,3,sample
1002,R99,1,LP1,LP,open,3,sample
2004,Cayenne,2,LP2,LP,open,3,sample
4005,R99,4,LP4,LP,shelter,3,sample
Mock3,,,,,,3,positive
NegCon3,,,,,,3,negative
101,B18504,1,UP1,UP,shelter,4,sample
3007,Cayenne,3,LP3,LP,shelter,4,sample
207,Cayenne,2,UP2,UP,shelter,4,sample
305,R99,3,UP3,UP,shelter,4,sample
4003,Rosetta,4,LP4,LP,shelter,4,sample
408,B18504,4,UP4,UP,open,4,sample
3008,Cayenne,3,LP3,LP,open,4,sample
Mock4,,,,,,4,positive
NegCon4,,,,,,4,negative
102,B18504,1,UP1,UP,open,5,sample
1008,Rosetta,1,LP1,LP,open,5,sample
1006,Cayenne,1,LP1,LP,open,5,sample
301,B18504,3,UP3,UP,shelter,5,sample
304,Cayenne,3,UP3,UP,open,5,sample
4006,R99,4,LP4,LP,open,5,sample
1004,B18504,1,LP1,LP,open,5,sample
Mock5,,,,,,5,positive
NegCon5,,,,,,5,negative
407,B18504,4,UP4,UP,shelter,6,sample
3001,B18504,3,LP3,LP,shelter,6,sample
404,R99,4,UP4,UP,open,6,sample
208,Cayenne,2,UP2,UP,open,6,sample
203,Rosetta,2,UP2,UP,shelter,6,sample
104,Rosetta,1,UP1,UP,open,6,sample
306,R99,3,UP3,UP,open,6,sample
Mock6,,,,,,6,positive
NegCon6,,,,,,6,negative
3002,B18504,3,LP3,LP,open,7,sample
3004,R99,3,LP3,LP,open,7,sample
206,R99,2,UP2,UP,open,7,sample
1003,B18504,1,LP1,LP,shelter,7,sample
2006,B18504,2,LP2,LP,open,7,sample
4002,Cayenne,4,LP4,LP,open,7,sample
403,R99,4,UP4,UP,shelter,7,sample
2001,Rosetta,2,LP2,LP,shelter,7,sample
3005,Rosetta,3,LP3,LP,shelter,7,sample
4008,B18504,4,LP4,LP,open,7,sample
Mock7,,,,,,7,positive
NegCon7,,,,,,7,negative
303,Cayenne,3,UP3,UP,shelter,8,sample
4007,B18504,4,LP4,LP,shelter,8,sample
3003,R99,3,LP3,LP,shelter,8,sample
1005,Cayenne,1,LP1,LP,shelter,8,sample
2002,Rosetta,2,LP2,LP,open,8,sample
4001,Cayenne,4,LP4,LP,shelter,8,sample
1007,Rosetta,1,LP1,LP,shelter,8,sample
308,Rosetta,3,UP3,UP,open,8,sample
Mock8,,,,,,8,positive
NegCon8,,,,,,8,negative
