ASV.ID,Domain,Phylum,Class,Order,Family,Genus,Species
38ff464ed1b7fba0295561ea3e8eb68a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,uncultured_bacterium
50e4fc643e43e8fac098152ed4b20edc,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
234f3299c31f534331b384fe927c9d9f,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
0852de1fd4b5d0b662bcbc1132447025,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Arachis_hypogaea
1c70435b9435d185569abeeddc36f4d7,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
292d96002bf1a9bd869d2dd38723f575,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
8868b1c52da52008cf3811ae172bb931,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,uncultured_bacterium
1897ae90cb54bfd7deeb2cc02c97074f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
4cc817431b3c62a5fc9a845599d17ac5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_peli
c06e5eaa926de8bf169c74dc8931726f,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,uncultured_bacterium
4e6f208c627328c8151d253eefee6a8d,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,NA
4e0481f68111cd3463386f70247922bb,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
b05c99c49b9378443ef5f66480b9e683,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
0bfac5aab1e9ef5aea532452fa0ada99,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
74ef413ac10a27d7f2a10cc74c3bc6d7,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,uncultured_bacterium
95fdd816723ca482a5caba10bea171c8,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
41c619697258b433b708fa67beaed68d,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
945b5625a9f1ee73e75f32474709490a,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,NA
e4a16e9836d7891bd59e9f88d69d6f27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,NA
35b7de080677662e32a23f50169e88f8,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
e0dab48d94fcf3c2dfc4b54c8fa0147b,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,uncultured_bacterium
de0efe6dbb27bd97d7473a80ccde6a68,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
0d6f85c2058320dcddd3300765b1d77d,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
740b47e2699cfcd66da2cb9ebd196b30,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured,uncultured_bacterium
c77ab6420d1cbba7accd38f52ac3b2f0,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,NA
ce72009c0c36b5ff547b9a0c89f669ce,Bacteria,Firmicutes,Bacilli,RF39,RF39,RF39,NA
78db7fa6b16b73b101fbb8b282b5330e,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
4d927c6397f52c58d24c7676c675baf2,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Arachis_hypogaea
c8ca3466535e13bfa275450e2c25e41a,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
0d46ccea29d8ee8e60903f6238962a07,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
c37589bf52fbeb20595550afead66523,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214_group,uncultured_rumen
b2c0cdd5905166edf3d60dafe4250321,Bacteria,Firmicutes,Bacilli,NA,NA,NA,NA
2fd7507a355fda8d4bef2f40760d337b,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
92f1720367db58c68a96eceb9feb416a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,NA
c4700b7953258dd18e84146c7bf9ac20,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA
8c4b3f6eea858c170fc89b8bc8b6ca3b,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
8c1233c570d7e62ad2cf7c7c12903fb0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_rhizophila
06f825b512d903b9230e1a55d87359ee,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
2d31100e1f7ecb07928b2382e7d63e04,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,Ileibacterium_valens
a636bd3d5c25af4082ad52c8aeca49fc,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,NA
166284dba80f2ff6629bc47636f9ae1e,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA
761a5eadace62b9e75a844c62ddfff4b,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,uncultured_organism
