"","OTUID","NC1","NC2","NC3","NC4","NC5","NC6","NC7","Domain","Phylum","Class","Order","Family","Genus","Species","Family.ed","Genus.ed"
"1","AB252903.1.1522",3,0,19,1,2,149,59,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia",NA,"Burkholderiaceae","Delftia"
"2","AB362767.1.1576",1,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Lactobacillaceae","Lactobacillus"
"3","AB374378.1.1507",0,0,0,0,29,0,0,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera","uncultured endolithic bacterium","Trueperaceae","Truepera"
"4","AB696297.1.1439",0,2,1,0,0,2,4,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Enterobacteriaceae","Escherichia-Shigella"
"5","AF125876.1.1529",0,0,0,0,0,0,95,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"Burkholderiaceae","f_Burkholderiaceae"
"6","AF284578.1.1549",0,0,0,0,0,189,214,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcaceae","Streptococcus"
"7","AOKA01000137.3650.5241",0,4,0,0,0,13,27,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"8","APQB01000020.493579.495105",0,0,0,0,0,1,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Moraxellaceae","Acinetobacter"
"9","AY491594.1.1631",0,0,0,1,0,483,806,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured",NA,"Burkholderiaceae","f_Burkholderiaceae"
"10","AY491606.1.1607",0,0,0,0,0,2,8,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured","uncultured bacterium","Burkholderiaceae","f_Burkholderiaceae"
"11","AY773134.1.1507",0,0,0,0,0,27,55,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas",NA,"Burkholderiaceae","Comamonas"
"12","AY923146.1.1555",2,0,0,0,0,0,7,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella",NA,"Carnobacteriaceae","Granulicatella"
"13","AYSH01000012.3236.4783",0,0,0,0,0,0,4,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus",NA,"Enterococcaceae","Vagococcus"
"14","BBPC01190614.7148.8812",0,0,0,0,6,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"15","CATO01000049.63.1649",0,0,0,0,0,0,10,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella",NA,"Enterobacteriaceae","Salmonella"
"16","CCPS01000022.154.1916",283,584,446,185,115,180,1522,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Escherichia coli","Enterobacteriaceae","Escherichia-Shigella"
"17","CP002568.631832.633307",0,0,0,0,0,170,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae",NA,NA,"Stappiaceae","f_Stappiaceae"
