"","OTUID","occ.chlo","com_abund.chlo","relabund","percentrelabund","Domain","Phylum","Class","Order","Family","Genus","Species","Family.ed","Genus.ed"
"3","GAOK01049512.6271.8188",1,76.5904443483825,0.969499295549146,96.9499295549146,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Cercis gigantea","Cercis gigantea","Cercis gigantea","Chloroplast","Chloroplast"
"8","GDAX01048398.486.2474",0.962025316455696,1.21320759271231,0.0153570581355989,1.53570581355989,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"13","HO793511.1.1233",0.924050632911392,0.62914659842737,0.00796388099275152,0.796388099275152,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"7","GCVR01032299.115.1608",0.89873417721519,0.383297848836762,0.00485187150426281,0.485187150426281,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"11","GQ495441.1.1492",0.873417721518987,0.11008161633782,0.0013934381814914,0.13934381814914,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"12","HO777920.18.1354",0.848101265822785,0.0467701649525686,0.000592027404462894,0.0592027404462894,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Phaseolus acutifolius (tepary bean)","Phaseolus acutifolius (tepary bean)","Phaseolus acutifolius (tepary bean)","Chloroplast","Chloroplast"
"10","GEUY01004424.1.1233",0.822784810126582,0.0137726355255918,0.000174337158551795,0.0174337158551795,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"5","GBIZ01006467.5355.6826",0.0253164556962025,0.00941058431121202,0.000119121320395089,0.0119121320395089,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Arachis hypogaea var. vulgaris","Arachis hypogaea var. vulgaris","Arachis hypogaea var. vulgaris","Chloroplast","Chloroplast"
"9","GEOZ01011695.30.1942",0.278481012658228,0.00138434881384034,1.75234027068398e-05,0.00175234027068398,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Millettia pinnata","Millettia pinnata","Millettia pinnata","Chloroplast","Chloroplast"
"15","KF843326.1.1368",0.582278481012658,0.00127794863206626,1.6176564962864e-05,0.0016176564962864,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"17","LT592136.1.1584",0.417721518987342,0.000533856527414622,6.7576775622104e-06,0.00067576775622104,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured prokaryote","uncultured prokaryote","uncultured prokaryote","Chloroplast","Chloroplast"
"4","GBEF01033122.3018.4495",0.253164556962025,0.00040164646608268,5.08413248205924e-06,0.000508413248205924,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"2","GAJR01016305.1169.2580",0.0759493670886076,9.18498830481373e-05,1.16265674744478e-06,0.000116265674744478,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"16","KX938022.1.1498",0.0126582278481013,7.7475622848668e-05,9.80704086692e-07,9.80704086692e-05,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured marine eukaryote","uncultured marine eukaryote","uncultured marine eukaryote","Chloroplast","Chloroplast"
"6","GBTV01025760.129.1889",0.0253164556962025,5.56775160687029e-05,7.0477868441396e-07,7.0477868441396e-05,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides","Chloroplast"
"1","AB696344.1.1371",0.0126582278481013,2.36711602419193e-05,2.9963493977113e-07,2.9963493977113e-05,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"14","JQ586274.1.1514",0.0126582278481013,2.21358922424766e-05,2.80201167626286e-07,2.80201167626286e-05,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
