"","OTUID","Mock1r2","Mock2r2","Mock3r2","Mock4r2","Mock5r2","Mock6r2","Mock7r2","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"1","AB637092.1.1524",10,24,6,2,17,15,11,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA,"f_Bacillaceae","Bacillaceae"
"2","AB696297.1.1439",9,31,30,22,16,67,30,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"3","AF025370.1.1525",9,35,15,7,25,28,39,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"4","AF284578.1.1549",0,0,0,0,0,1,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus","Streptococcaceae"
"5","AJ440990.1.1550",24,26,11,11,39,31,26,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus",NA,"Planococcus","Planococcaceae"
"6","AM183014.1.1441",14,40,31,35,29,107,51,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured Enterobacteriaceae bacterium","Escherichia-Shigella","Enterobacteriaceae"
"7","AOKA01000137.3650.5241",0,0,0,0,0,1,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"8","AOTI010541966.326.1849",0,0,0,0,1,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"9","AY030334.1.1514",133,100,66,92,39,7,7,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"10","AY491594.1.1631",0,0,0,0,0,1,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured",NA,"f_Burkholderiaceae","Burkholderiaceae"
"11","AY538683.1.1513",1,0,0,2,5,15,10,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus","Staphylococcaceae"
"12","AY803191.1.1542",3,31,21,8,14,40,36,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cronobacter",NA,"Cronobacter","Enterobacteriaceae"
"13","AY959011.1.1496",15,98,51,15,14,5,7,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"14","CATO01000049.63.1649",110,59,126,94,100,258,242,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella",NA,"Salmonella","Enterobacteriaceae"
"15","CCPS01000022.154.1916",2822,15787,13614,9912,8483,25522,15291,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Escherichia coli","Escherichia-Shigella","Enterobacteriaceae"
"16","CP007799.5360909.5362333",3,31,19,16,13,44,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"17","CP018779.372609.374112",5857,3249,4092,1261,12837,23479,19680,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum",NA,"Ochrobactrum","Rhizobiaceae"
"18","CTEN01000001.315310.316856",0,0,0,0,0,1,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus","Streptococcaceae"
"19","CVJT01000011.50.2173",111,118,63,75,191,204,187,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","Staphylococcus","Staphylococcaceae"
"20","DQ462184.1.1522",0,0,1,0,0,2,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus","Staphylococcaceae"
"21","DQ819169.1.1447",60,554,189,59,128,257,127,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"22","DQ870740.1.1288",0,0,0,0,1,0,2,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcus","Staphylococcaceae"
"23","EF101305.1.1542",0,0,0,0,1,4,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"24","EF528273.1.1512",1039,1094,905,1819,7903,13237,10617,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"25","EU511062.1.1407",31,169,75,64,74,68,92,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","uncultured","uncultured bacterium","f_Lachnospiraceae","Lachnospiraceae"
"26","EU560820.1.1485",0,1,3,0,0,0,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"27","EU771597.1.1411",20,71,44,45,42,28,90,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"28","EU771744.1.1413",69,346,168,111,111,114,153,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"29","EU771783.1.1399",0,2,0,0,7,18,17,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"30","EU778460.1.1405",4,15,6,1,2,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"31","FJ753768.1.1442",1,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcus","Enterococcaceae"
"32","FJ901047.1.1308",6,0,0,0,3,9,19,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","uncultured bacterium","Pseudomonas","Pseudomonadaceae"
"33","FJ950694.1.1472",1,9,5,3,1,13,10,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"34","FJ957467.1.1521",0,0,0,0,0,3,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus","Staphylococcaceae"
"35","FJ957714.1.1490",0,5,0,1,2,1,2,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","uncultured bacterium","Bacillus","Bacillaceae"
"36","FN436071.1.1449",0,0,0,0,1,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella",NA,"Shinella","Rhizobiaceae"
"37","FNFY01000063.42.1594",1,3,0,0,12,10,2,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus",NA,"Salinicoccus","Staphylococcaceae"
"38","FNKD01000009.1.1593",6,14,11,6,21,12,6,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Virgibacillus",NA,"Virgibacillus","Bacillaceae"
"39","FPID01000096.6.1486",3850,6,6,15,2378,4600,3478,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","metagenome","Pseudomonas","Pseudomonadaceae"
"40","FPLN01005715.1.1458",223,0,0,0,20,22,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","metagenome","Escherichia-Shigella","Enterobacteriaceae"
"41","FPLN01008484.58.1586",54,45,42,39,3,3,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"42","FPLN01009530.8.1528",6,0,0,0,40,92,40,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"43","FR746074.1.1400",0,0,0,0,0,3,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"44","GQ483458.1.1495",1,1,0,0,2,1,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Rhizobiaceae"
"45","GQ853416.1.1513",21,10,21,12,15,66,30,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA,"Pantoea","Enterobacteriaceae"
"46","GQ926886.1.1538",12,6,10,16,5,1,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"47","GU553044.1.1341",0,0,0,0,0,0,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"48","HAEP01038523.44.1571",0,0,0,0,0,1,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"f_Burkholderiaceae","Burkholderiaceae"
"49","HAFQ01034880.73.1513",4,0,0,0,12,11,6,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"50","HF572851.1.1257",0,0,0,0,1,3,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae"
"51","HK555525.1.1552",0,0,0,0,0,1,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus",NA,"Anaerobacillus","Bacillaceae"
"52","HM159971.1.1501",1,5,2,4,5,2,7,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas","uncultured Comamonas sp.","Comamonas","Burkholderiaceae"
"53","HM816241.1.1371",0,0,0,0,0,0,2,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus","Staphylococcaceae"
"54","HQ121200.1.1459",0,0,0,0,0,2,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,"f_Caulobacteraceae","Caulobacteraceae"
"55","HQ148916.1.1299",4,3,14,10,10,25,9,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,"f_Enterobacteriaceae","Enterobacteriaceae"
