"","OTUID","Mock1r2","Mock2r2","Mock3r2","Mock4r2","Mock5r2","Mock6r2","Mock7r2","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"56","HQ455824.1.1542",90,651,495,180,423,1530,708,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA,"Pantoea","Enterobacteriaceae"
"57","JF346899.1.1511",15,21,9,8,7,1,3,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"58","JN866823.1.1445",6,0,0,0,3,14,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter","Citrobacter freundii","Citrobacter","Enterobacteriaceae"
"59","JOGX01000016.105867.107365",25831,25655,25943,32537,35055,18690,29512,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomyces","Streptomycetaceae"
"60","JQNF01000007.278620.280162",0,0,0,0,0,1,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA,"Carnobacterium","Carnobacteriaceae"
"61","JRJC01000023.11.1813",30,34,61,32,35,151,114,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter",NA,"Enterobacter","Enterobacteriaceae"
"62","KC665708.1.1507",0,0,0,0,0,2,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA,"Aeromonas","Aeromonadaceae"
"63","KC683892.1.1440",13,9,13,10,2,1,1,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis","Bacillus","Bacillaceae"
"64","KC858869.1.1562",18,9,6,16,1,1,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"65","KF026285.1.1556",195,0,1,0,94,159,142,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae"
"66","KF061569.1.1375",0,1,1,0,4,13,9,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcus","Staphylococcaceae"
"67","KF098385.1.1371",1,0,0,0,0,0,1,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcus","Staphylococcaceae"
"68","KF099744.1.1371",4,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcus","Staphylococcaceae"
"69","KF100270.1.1376",9,12,1,0,12,11,14,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila","uncultured bacterium","Fastidiosipila","Ruminococcaceae"
"70","KF625186.1.1741",3209,2672,5476,4052,3896,11471,7408,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Raoultella","Raoultella ornithinolytica","Raoultella","Enterobacteriaceae"
"71","KF928782.1.1516",7,6,13,10,17,25,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella",NA,"Salmonella","Enterobacteriaceae"
"72","KJ013374.1.1531",452,435,567,713,688,365,547,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomyces","Streptomycetaceae"
"73","KJ161326.1.1708",0,0,0,0,1,2,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"74","KM209255.204.1909",0,0,1,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Dickeya",NA,"Dickeya","Enterobacteriaceae"
"75","KM391945.1.1431",0,4,3,0,4,5,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"76","KP096372.1.1487",189,249,209,160,23,19,17,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis","Bacillus","Bacillaceae"
"77","KR026982.1.1447",2840,7,8,12,1840,3509,2601,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"78","KT003266.1.1254",164,177,78,93,164,91,45,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"79","KT957300.1.1480",1,4,3,1,3,52,17,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis subsp. hominis","Staphylococcus","Staphylococcaceae"
"80","KU714901.1.1529",166,158,176,279,228,128,194,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomyces","Streptomycetaceae"
"81","KU978243.1.1517",6,0,0,0,8,28,20,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"82","KY646001.1.1573",25773,17412,16636,17171,2924,1175,1126,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"83","KY777444.1.1555",53,27,47,41,7,5,0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"84","LC176070.1.1536",17,0,0,0,11,25,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae"
"85","LN610139.1.2752",0,0,0,0,0,0,1,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus","Staphylococcaceae"
"86","LT545682.1.1550",1,0,0,0,1,6,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonas","Pseudomonadaceae"
"87","LT605585.1090822.1092349",42,21,40,12,138,307,250,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Brucella",NA,"Brucella","Rhizobiaceae"
"88","MLJW01000012.177783.179297",0,0,0,0,0,2,0,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA,"Sediminibacterium","Chitinophagaceae"
"89","MTIS01000005.1947007.1948557",68,51,40,63,3,1,8,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus alkalitelluris","Bacillus","Bacillaceae"
"90","S83568.1.1554",19,10,29,39,197,296,270,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus agnetis","Staphylococcus","Staphylococcaceae"
"91","U92194.1.1550",5,6,6,2,4,8,2,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
