"","OTUID","Occ.bio.nc.unfil","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"27","AORL01000003.205.1670",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonas","Sphingomonadaceae"
"31","ARNI01000005.12.1498",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter",NA,"Dyadobacter","Spirosomaceae"
"34","AY139002.1.1524",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herbaspirillum",NA,"Herbaspirillum","Burkholderiaceae"
"35","AY220740.1.1485",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas",NA,"Roseomonas","Acetobacteraceae"
"41","AY773134.1.1507",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas",NA,"Comamonas","Burkholderiaceae"
"46","AYSH01000012.3236.4783",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus",NA,"Vagococcus","Enterococcaceae"
"49","BBFW01000391.24.1543",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia",NA,"Nocardia","Nocardiaceae"
"51","BBUL01000055.3960.5476",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio",NA,"Cellvibrio","Cellvibrionaceae"
"57","CP012507.1793487.1795021",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria",NA,"Kocuria","Micrococcaceae"
"66","DQ404663.1.1486",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS 17","uncultured bacterium","uncultured bacterium","f_env.OPS 17","env.OPS 17"
"67","DQ450748.1.1393",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Parafilimonas","uncultured Bacteroidetes bacterium","Parafilimonas","Chitinophagaceae"
"70","DQ493433.1.1449",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured",NA,"f_Caulobacteraceae","Caulobacteraceae"
"71","DQ532277.1.1514",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","uncultured bacterium","Lysobacter","Xanthomonadaceae"
"75","DQ855276.1.1474",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Rhizobiaceae"
"76","DQ870740.1.1288",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcus","Staphylococcaceae"
"77","EF032759.1.1415",0.0140845070422535,"Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Bryobacter",NA,"Bryobacter","Solibacteraceae (Subgroup 3)"
"80","EF364376.1.1470",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Rhizobiaceae"
"84","EF683058.1.1498",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","uncultured bacterium","Ferruginibacter","Chitinophagaceae"
"85","EU132775.1.1340",0.0140845070422535,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","uncultured bacterium","Solirubrobacter","Solirubrobacteraceae"
"86","EU133124.1.1356",0.0140845070422535,"Bacteria","Actinobacteria","Acidimicrobiia","uncultured","uncultured bacterium","uncultured bacterium","uncultured bacterium","c_Acidimicrobiia","c_Acidimicrobiia"
"87","EU134492.1.1414",0.0140845070422535,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41",NA,NA,"f_BIrii41","BIrii41"
"88","EU360966.1.1480",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA,"Chryseobacterium","Weeksellaceae"
"89","EU458616.1.1401",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group","uncultured bacterium","Rikenellaceae RC9 gut group","Rikenellaceae"
"93","EU771744.1.1413",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"97","EU800974.1.1502",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","uncultured bacterium","Legionella","Legionellaceae"
"99","FJ184323.1.1507",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Stenotrophomonas","Xanthomonadaceae"
"101","FJ466213.1.1328",0.0140845070422535,"Bacteria","Bacteroidetes","Ignavibacteria","OPB56","uncultured bacterium","uncultured bacterium","uncultured bacterium","o_OPB56","o_OPB57"
"102","FJ625358.1.1509",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","uncultured bacterium","Acidothermus","Acidothermaceae"
"104","FJ823914.1.1507",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","uncultured",NA,"f_Rhodocyclaceae","Rhodocyclaceae"
"105","FJ901047.1.1308",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","uncultured bacterium","Pseudomonas","Pseudomonadaceae"
"106","FJ950694.1.1472",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"112","FM872738.1.1487",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA,"Burkholderia-Caballeronia-Paraburkholderia","Burkholderiaceae"
"113","FN377717.1.1523",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Paeniglutamicibacter",NA,"Paeniglutamicibacter","Micrococcaceae"
"114","FN430384.1.1490",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus","Bacillus","Bacillaceae"
"121","FPLK01000415.18.1468",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA,"Rhodobacter","Rhodobacteraceae"
"122","FPLL01000300.16.1523",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"f_Burkholderiaceae","Burkholderiaceae"
"123","FPLL01000940.11.1474",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA,NA,"f_Devosiaceae","Devosiaceae"
"124","FPLL01002568.9.1524",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","TRA3-20","metagenome","metagenome","f_TRA3-20","TRA3-20"
"125","FPLL01005505.14.1532",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter","metagenome","Steroidobacter","Steroidobacteraceae"
"126","FPLL01007029.10.1477",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonas","Sphingomonadaceae"
"127","FPLL01007102.10.1478",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncultured",NA,NA,"o_Rhizobiales","o_Rhizobiales"
"129","FPLM01000559.10.1453",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus",NA,"Amaricoccus","Rhodobacteraceae"
"130","FPLM01003094.15.1529",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ramlibacter",NA,"Ramlibacter","Burkholderiaceae"
"131","FPLM01003312.11.1536",0.0140845070422535,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae",NA,NA,"f_Solirubrobacteraceae","Solirubrobacteraceae"
"132","FPLN01005715.1.1458",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","metagenome","Escherichia-Shigella","Enterobacteriaceae"
"133","FPLN01008484.58.1586",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"135","FPLS01000417.8.1471",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","metagenome","Devosia","Devosiaceae"
"136","FPLS01002836.14.1480",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","metagenome","Sphingobium","Sphingomonadaceae"
"137","FPLS01003342.25.1528",0.0140845070422535,"Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible genus 04","uncultured bacterium","possible genus 04","Fibrobacteraceae"
"138","FPLS01007672.18.1477",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","metagenome","Phenylobacterium","Caulobacteraceae"
"139","FPLS01009273.17.1481",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured","metagenome","f_Xanthobacteraceae","Xanthobacteraceae"
"140","FPLS01009478.18.1542",0.0140845070422535,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","metagenome","metagenome","f_67-14","67-14"
"141","FPLS01015607.17.1527",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Verticia",NA,"Verticia","Burkholderiaceae"
"142","FPLS01031197.11.1541",0.0140845070422535,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",NA,"Haliangium","Haliangiaceae"
"144","FPLS01034889.11.1536",0.0140845070422535,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","metagenome","Chthoniobacter","Chthoniobacteraceae"
"145","FPLS01038376.19.1499",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA,"Microvirga","Beijerinckiaceae"
"147","FPLS01059814.15.1488",0.0140845070422535,"Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata","metagenome","Gemmata","Gemmataceae"
"148","FPLS01062338.16.1535",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera",NA,"Methylotenera","Methylophilaceae"
"150","FR749714.1.1492",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured Bacteroidetes bacterium","f_Chitinophagaceae","Chitinophagaceae"
"151","FR749808.1.1521",0.0140845070422535,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",NA,"Haliangium","Haliangiaceae"
"162","GQ264200.1.1471",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","uncultured bacterium","Devosia","Devosiaceae"
"163","GQ264293.1.1466",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA,NA,"f_NS11-12 marine group","NS11-12 marine group"
"164","GQ264313.1.1452",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured bacterium","f_Chitinophagaceae","Chitinophagaceae"
"165","GQ264330.1.1482",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter",NA,"Acidibacter","o_Gammaproteobacteria Incertae Sedis"
"166","GQ280051.1.1425",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"167","GQ302541.1.1484",0.0140845070422535,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"168","GQ379541.1.1220",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium","uncultured bacterium","Methylobacterium","Beijerinckiaceae"
"169","GQ388901.1.1482",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured bacterium","Sphingomonas","Sphingomonadaceae"
"170","GQ396917.1.1488",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured bacterium","f_Saprospiraceae","Saprospiraceae"
"171","GQ451285.1.1488",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"Pedobacter","Sphingobacteriaceae"
"173","GQ500892.1.1448",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","uncultured","uncultured bacterium","f_Rhizobiales Incertae Sedis","Rhizobiales Incertae Sedis"
"175","GQ926886.1.1538",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"176","GU208498.1.1454",0.0140845070422535,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","uncultured prokaryote","Haliangium","Haliangiaceae"
"177","GU553044.1.1341",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"181","HE962120.1.1400",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enterococcus","Enterococcaceae"
"187","HK555632.10.1532",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,"Bifidobacterium","Bifidobacteriaceae"
"190","HM187227.1.1477",0.0140845070422535,"Bacteria","Acidobacteria","Subgroup 6","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium","c_Subgroup 6","c_Subgroup 6"
"191","HM241063.1.1366",0.0140845070422535,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","uncultured bacterium","uncultured bacterium","o_Gaiellales","o_Gaiellales"
"194","HQ014636.1.1456",0.0140845070422535,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","uncultured bacterium","uncultured bacterium","f_A4b","A4b"
"195","HQ119202.1.1480",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","uncultured","uncultured bacterium","f_Acetobacteraceae","Acetobacteraceae"
"199","HQ166699.1.1541",0.0140845070422535,"Bacteria","Acidobacteria","Subgroup 6","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium","c_Subgroup 6","c_Subgroup 6"
"201","HQ190384.1.1493",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured","uncultured bacterium","f_Microscillaceae","Microscillaceae"
"203","HQ397140.1.1483",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus Amoebophilus",NA,"Candidatus Amoebophilus","Amoebophilaceae"
"205","HQ599031.1.1456",0.0140845070422535,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae_Subgroup 1","Granulicella",NA,"Granulicella","Acidobacteriaceae_Subgroup 1"
"207","JDSS02000024.197630.199203",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Candidatus Accumulibacter","Candidatus Accumulibacter sp. SK-01","Candidatus Accumulibacter","Rhodocyclaceae"
"208","JF167832.1.1330",0.0140845070422535,"Bacteria","FBP","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium","p_FBP","p_FBP"
"209","JF180716.1.1357",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured bacterium","f_Chitinophagaceae","Chitinophagaceae"
"212","JF429110.1.1493",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans",NA,"Jatrophihabitans","Frankiaceae"
"213","JF495287.1.1459",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","uncultured","uncultured bacterium","f_Methyloligellaceae","Methyloligellaceae"
"214","JF733438.1.1480",0.0140845070422535,"Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Aquisphaera","uncultured planctomycete","Aquisphaera","Isosphaeraceae"
"215","JN023131.1.1435",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured bacterium","Sphingomonas","Sphingomonadaceae"
"219","JN644571.1.1553",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus",NA,"Aerococcus","Aerococcaceae"
"221","JN802263.1.1452",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter","uncultured bacterium","Altererythrobacter","Sphingomonadaceae"
"226","JN869046.1.1544",0.0140845070422535,"Bacteria","Acidobacteria","Subgroup 17","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium","c_Subgroup 17","c_Subgroup 17"
"227","JN869191.1.1500",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","metagenome","Hyphomicrobium","Hyphomicrobiaceae"
"229","JPLY01000001.145690.147219",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA,"Chryseobacterium","Weeksellaceae"
"231","JQ861298.1.1466",0.0140845070422535,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella",NA,"Granulicella","Acidobacteriaceae (Subgroup 1)"
"236","JX559243.1.1444",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonas","Sphingomonadaceae"
"239","KC011109.1.1478",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA,"Hymenobacter","Hymenobacteraceae"
"246","KC683139.1.1516",0.0140845070422535,"Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","Blastocatella",NA,"Blastocatella","Blastocatellaceae"
"247","KC683892.1.1440",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis","Bacillus","Bacillaceae"
"250","KF037529.1.1462",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured bacterium","Sphingomonas","Sphingomonadaceae"
"251","KF061569.1.1375",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcus","Staphylococcaceae"
"258","KF712847.1.1506",0.0140845070422535,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",NA,NA,"f_Verrucomicrobiaceae","Verrucomicrobiaceae"
"261","KF975562.1.1515",0.0140845070422535,"Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","Blastocatella","uncultured soil bacterium","Blastocatella","Blastocatellaceae"
"262","KH179773.1.1478",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,"o_Bacillales","o_Bacillales"
"265","KJ410631.1.1248",0.0140845070422535,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"266","KJ600988.1.1454",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","uncultured","uncultured bacterium","f_Rhizobiales Incertae Sedis","Rhizobiales Incertae Sedis"
"267","KM209255.204.1909",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Dickeya",NA,"Dickeya","Enterobacteriaceae"
"274","KP986565.1.1538",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA,"Microbacterium","Microbacteriaceae"
"277","KR088716.1.1442",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Marinococcus",NA,"Marinococcus","Bacillaceae"
"279","KT350432.1.1533",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Noviherbaspirillum",NA,"Noviherbaspirillum","Burkholderiaceae"
"280","KT957300.1.1480",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis subsp. hominis","Staphylococcus","Staphylococcaceae"
"282","KU588112.1.1213",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"283","KU713410.1.1401",0.0140845070422535,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","LD29","uncultured bacterium","LD29","Chthoniobacteraceae"
"285","KU726283.1.1457",0.0140845070422535,"Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales","uncultured bacterium","uncultured bacterium","uncultured bacterium","p_Cyanobacteria","p_Cyanobacteria"
"288","KX508879.1.1497",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","uncultured bacterium","Acinetobacter","Moraxellaceae"
"289","KX938022.1.1498",0.0140845070422535,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured marine eukaryote","uncultured marine eukaryote","uncultured marine eukaryote","Chloroplast","uncultured marine eukaryote"
"290","KY117512.1.1474",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis",NA,"Rhizorhapis","Sphingomonadaceae"
"291","KY445705.1.1510",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp.","Mycobacterium","Mycobacteriaceae"
"297","LC027464.1.1465",0.0140845070422535,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)",NA,NA,"f_Acidobacteriaceae (Subgroup 1)","Acidobacteriaceae (Subgroup 1)"
"300","LK985387.1.1470",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Phreatobacter",NA,"Phreatobacter","Rhizobiales Incertae Sedis"
"303","LMQC01000001.4000.5527",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus",NA,"Geodermatophilus","Geodermatophilaceae"
"304","LN570499.1.1323",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA,"f_Acetobacteraceae","Acetobacteraceae"
"309","LNNI01000005.225118.226745",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"310","LQOW01000023.119.1666",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA,"Mycobacterium","Mycobacteriaceae"
"316","LXTQ01000003.3712.5257",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae",NA,NA,"f_Methylophilaceae","Methylophilaceae"
"325","X92159.1.1489",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
"7","AB637092.1.1524",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA,"f_Bacillaceae","Bacillaceae"
"14","AF025370.1.1525",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"18","AJ272200.1.1497",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcus","Enterococcaceae"
"23","AM420261.1.1516",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella",NA,"Granulicatella","Carnobacteriaceae"
"25","ANAM01000008.400257.401788",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus",NA,"Salinicoccus","Staphylococcaceae"
"33","AY119687.1.1549",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Macrococcus",NA,"Macrococcus","Staphylococcaceae"
"40","AY538683.1.1513",0,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcus","Staphylococcaceae"
"42","AY773954.1.1486",0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus casei","Lactobacillus","Lactobacillaceae"
"43","AY803191.1.1542",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cronobacter",NA,"Cronobacter","Enterobacteriaceae"
"45","AY959011.1.1496",0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
