"","OTUID","Occ.bio.nc.unfil","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"172","GQ483458.1.1495",0.352112676056338,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Rhizobiaceae"
"82","EF517956.1.1666",0.309859154929577,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. IGCAR-9/07","Acinetobacter","Moraxellaceae"
"313","LT592136.1.1584",0.309859154929577,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured prokaryote","uncultured prokaryote","uncultured prokaryote","Chloroplast","Chloroplast"
"149","FR746074.1.1400",0.295774647887324,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"38","AY491594.1.1631",0.253521126760563,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured",NA,"f_Burkholderiaceae","Burkholderiaceae"
"276","KR088549.1.1526",0.253521126760563,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. F7","Arthrobacter","Micrococcaceae"
"119","FPID01000096.6.1486",0.225352112676056,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","metagenome","Pseudomonas","Pseudomonadaceae"
"197","HQ121200.1.1459",0.225352112676056,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,"f_Caulobacteraceae","Caulobacteraceae"
"293","KY711182.1.1549",0.225352112676056,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"28","AOTI010541966.326.1849",0.211267605633803,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"216","JN082536.1.1536",0.211267605633803,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Acinetobacter","Moraxellaceae"
"62","CTEN01000001.315310.316856",0.183098591549296,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus","Streptococcaceae"
"16","AF284578.1.1549",0.169014084507042,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus","Streptococcaceae"
"263","KJ013374.1.1531",0.169014084507042,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomyces","Streptomycetaceae"
"44","AY856845.1.1538",0.154929577464789,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Stenotrophomonas","Xanthomonadaceae"
"154","GBTV01025760.129.1889",0.140845070422535,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides"
"182","HF570082.1.1509",0.140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium",NA,"Methylobacterium","Beijerinckiaceae"
"298","LC140841.1.1508",0.140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","uncultured Pseudomonas sp.","Pseudomonas","Pseudomonadaceae"
"12","ABRA01002618.192.1704",0.126760563380282,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Rhizobiaceae"
"161","GEXO01005455.1.1513",0.126760563380282,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Malaclemys terrapin terrapin","Escherichia-Shigella","Enterobacteriaceae"
"204","HQ455824.1.1542",0.126760563380282,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA,"Pantoea","Enterobacteriaceae"
"206","HQ682006.1.1451",0.126760563380282,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","uncultured bacterium","Brevundimonas","Caulobacteraceae"
"19","AJ429238.1.1465",0.112676056338028,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonas","Sphingomonadaceae"
"78","EF064168.1.1513",0.112676056338028,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium","uncultured bacterium","Aquabacterium","Burkholderiaceae"
"235","JUOP01000215.81.1657",0.112676056338028,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enterococcus","Enterococcaceae"
"272","KP096372.1.1487",0.112676056338028,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis","Bacillus","Bacillaceae"
"301","LKHO01000001.198.1803",0.112676056338028,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","Listeria","Listeriaceae"
"143","FPLS01033822.31.1498",0.0985915492957746,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,"f_Rhizobiaceae","Rhizobiaceae"
"180","HAFQ01034884.73.1567",0.0985915492957746,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Spumella sp. AR4D6","Pseudomonas","Pseudomonadaceae"
"184","HG780372.1.1269",0.0985915492957746,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas stutzeri","Pseudomonas","Pseudomonadaceae"
"220","JN695913.1.1530",0.0985915492957746,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium","Methylobacterium radiotolerans","Methylobacterium","Beijerinckiaceae"
"234","JRJC01000023.11.1813",0.0985915492957746,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter",NA,"Enterobacter","Enterobacteriaceae"
"100","FJ439860.1.1500",0.0845070422535211,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","uncultured bacterium","Bradyrhizobium","Xanthobacteraceae"
"223","JN868813.1.1537",0.0845070422535211,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Stenotrophomonas","Xanthomonadaceae"
"314","LT605585.1090822.1092349",0.0845070422535211,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Brucella",NA,"Brucella","Rhizobiaceae"
"323","S83568.1.1554",0.0845070422535211,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus agnetis","Staphylococcus","Staphylococcaceae"
"2","AB362767.1.1576",0.0704225352112676,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Lactobacillus","Lactobacillaceae"
"22","AM183014.1.1441",0.0704225352112676,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured Enterobacteriaceae bacterium","Escherichia-Shigella","Enterobacteriaceae"
"26","AOKA01000137.3650.5241",0.0704225352112676,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"36","AY275432.1.1524",0.0704225352112676,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"f_Burkholderiaceae","Burkholderiaceae"
