sample_ID,well,sample_id,sample_name,PF_reads
1,A1,AFB_20210429_01,101,174
2,B1,AFB_20210429_02,102,139
3,C1,AFB_20210429_03,103,53
4,D1,AFB_20210429_04,104,47
5,E1,AFB_20210429_05,105,45
6,F1,AFB_20210429_06,106,63
7,G1,AFB_20210429_07,107,133
8,H1,AFB_20210429_08,108,21
9,A2,AFB_20210429_09,201,38
10,B2,AFB_20210429_10,202,13
11,C2,AFB_20210429_11,203,94
12,D2,AFB_20210429_12,204,11
13,E2,AFB_20210429_13,205,21
14,F2,AFB_20210429_14,206,24
15,G2,AFB_20210429_15,207,50
16,H2,AFB_20210429_16,208,40
17,A3,AFB_20210429_17,301,21
18,B3,AFB_20210429_18,302,11
19,C3,AFB_20210429_19,303,651
20,D3,AFB_20210429_20,304,11
21,E3,AFB_20210429_21,305,32
22,F3,AFB_20210429_22,306,78
23,G3,AFB_20210429_23,307,27
24,H3,AFB_20210429_24,308,40
25,A4,AFB_20210429_25,401,24
26,B4,AFB_20210429_26,402,58
27,C4,AFB_20210429_27,403,221
28,D4,AFB_20210429_28,404,46
29,E4,AFB_20210429_29,405,17
30,F4,AFB_20210429_30,406,66
31,G4,AFB_20210429_31,407,46
32,H4,AFB_20210429_32,408,229
33,A5,AFB_20210429_33,1001,56
34,B5,AFB_20210429_34,1002,22
35,C5,AFB_20210429_35,1003,37
36,D5,AFB_20210429_36,1004,37
37,E5,AFB_20210429_37,1005,20
38,F5,AFB_20210429_38,1006,20
39,G5,AFB_20210429_39,1007,70
40,H5,AFB_20210429_40,1008,44
41,A6,AFB_20210429_41,2001,66
42,B6,AFB_20210429_42,2002,31
43,C6,AFB_20210429_43,2003,51
44,D6,AFB_20210429_44,2004,59
45,E6,AFB_20210429_45,2005,182
46,F6,AFB_20210429_46,2006,129
47,G6,AFB_20210429_47,2007,666
48,H6,AFB_20210429_48,2008,75
49,A7,AFB_20210429_49,3001,109
50,B7,AFB_20210429_50,3002,20
51,C7,AFB_20210429_51,3003,20
52,D7,AFB_20210429_52,3004,10
53,E7,AFB_20210429_53,3005,17
54,F7,AFB_20210429_54,3006,29
55,G7,AFB_20210429_55,3007,24
56,H7,AFB_20210429_56,3008,19
57,A8,AFB_20210429_57,4001,16
58,B8,AFB_20210429_58,4002,1783
59,C8,AFB_20210429_59,4003,11
60,D8,AFB_20210429_60,4004,17
61,E8,AFB_20210429_61,4005,121
62,F8,AFB_20210429_62,4006,94
63,G8,AFB_20210429_63,4007,515
64,H8,AFB_20210429_64,4008,316
65,A9,AFB_20210429_65,Mock1,73759
66,B9,AFB_20210429_66,Mock2,69619
67,C9,AFB_20210429_67,Mock3,69509
68,D9,AFB_20210429_68,Mock4,69188
69,E9,AFB_20210429_69,Mock5,78416
70,F9,AFB_20210429_70,Mock6,106529
71,G9,AFB_20210429_71,Mock7,93413
72,H9,AFB_20210429_72,NC1,1593
73,A10,AFB_20210429_73,NC2,728
74,B10,AFB_20210429_74,NC3,2623
75,C10,AFB_20210429_75,NC4,194
76,D10,AFB_20210429_76,NC5,183
77,E10,AFB_20210429_77,NC6,10330
78,F10,AFB_20210429_78,NC7,24381
79,G12,ZymoMockDNA,RTSF_Zymo,97797
80,H12,RTSF_NTC,RTSF_NC,5
