"","OTUID","NC1r2","NC2r2","NC3r2","NC4r2","NC5r2","NC6r2","NC7r2","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"1","AB362767.1.1576",1,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Lactobacillus","Lactobacillaceae"
"2","AB374378.1.1507",0,0,0,0,16,0,0,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera","uncultured endolithic bacterium","Truepera","Trueperaceae"
"3","AB696297.1.1439",0,2,2,0,0,0,3,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Escherichia-Shigella","Enterobacteriaceae"
"4","AF125876.1.1529",0,0,0,0,0,0,96,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"f_Burkholderiaceae","Burkholderiaceae"
"5","AF284578.1.1549",0,0,0,0,0,141,199,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus","Streptococcaceae"
"6","AM183014.1.1441",2,1,0,0,0,3,5,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured Enterobacteriaceae bacterium","Escherichia-Shigella","Enterobacteriaceae"
"7","AOKA01000137.3650.5241",0,8,0,0,0,2,12,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"8","AOTI010541966.326.1849",0,0,0,0,0,196,332,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
"9","APQB01000020.493579.495105",0,0,0,0,0,2,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Acinetobacter","Moraxellaceae"
"10","AY275432.1.1524",0,0,0,0,0,19,37,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"f_Burkholderiaceae","Burkholderiaceae"
"11","AY491594.1.1631",0,0,0,0,0,362,554,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured",NA,"f_Burkholderiaceae","Burkholderiaceae"
"12","AY491606.1.1607",0,0,0,0,0,4,23,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured","uncultured bacterium","f_Burkholderiaceae","Burkholderiaceae"
"13","AY856845.1.1538",0,0,0,0,0,276,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Stenotrophomonas","Xanthomonadaceae"
"14","AYSH01000012.3236.4783",0,0,0,0,0,0,1,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus",NA,"Vagococcus","Enterococcaceae"
"15","BABK02029359.1608.3968",9,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"16","CATO01000049.63.1649",1,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella",NA,"Salmonella","Enterobacteriaceae"
"17","CCPS01000022.154.1916",187,448,352,134,94,124,1228,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Escherichia coli","Escherichia-Shigella","Enterobacteriaceae"
"18","CP002568.631832.633307",0,0,0,0,0,111,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae",NA,NA,NA,"Stappiaceae"
"19","CP007799.5360909.5362333",0,3,0,0,0,5,2,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Escherichia-Shigella","Enterobacteriaceae"
"20","CP014226.105426.106962",0,0,36,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA,"Halomonas","Halomonadaceae"
"21","CP018779.372609.374112",3,55,182,0,0,0,1753,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum",NA,"Ochrobactrum","Rhizobiaceae"
"22","CP019158.175094.176630",0,0,50,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA,"Sphingobacterium","Sphingobacteriaceae"
"23","CTEN01000001.315310.316856",0,0,23,0,0,170,370,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcus","Streptococcaceae"
"24","CVJT01000011.50.2173",0,0,0,0,0,0,28,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","Staphylococcus","Staphylococcaceae"
"25","DQ234192.1.1572",0,0,0,0,0,0,2,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonas","Pseudomonadaceae"
