"","OTUID","occ.chlo","com_abund.chlo","relabund","percentrelabund","Order","Family","Genus","Species","Genus.ed","Family.ed"
"3","GAOK01049512.6271.8188",1,77.2089479971881,0.965111849964852,96.5111849964852,"Chloroplast","Cercis gigantea","Cercis gigantea","Cercis gigantea","Chloroplast","Chloroplast"
"6","GDAX01048398.486.2474",0.9625,1.21574964764152,0.015196870595519,1.5196870595519,"Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"9","HO793511.1.1233",0.925,0.635466536138238,0.00794333170172797,0.794333170172797,"Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"5","GCVR01032299.115.1608",0.925,0.368434493659855,0.00460543117074819,0.460543117074819,"Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"4","GBTV01025760.129.1889",0.125,0.347253905913939,0.00434067382392424,0.434067382392423,"Chloroplast","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides"
"2","DQ629536.1.1284",0.8625,0.100432293892949,0.00125540367366186,0.125540367366186,"Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"14","LN885259.156216.157719",0.8375,0.0580221177579572,0.000725276471974465,0.0725276471974465,"Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"11","KF843326.1.1368",0.6125,0.0392998700685049,0.000491248375856311,0.0491248375856311,"Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"16","MJEQ01037191.43866869.43868322",0.8,0.0128100962020561,0.000160126202525701,0.0160126202525701,"Chloroplast","Nicotiana attenuata","Nicotiana attenuata","Nicotiana attenuata","Chloroplast","Chloroplast"
"7","GEUY01004424.1.1233",0.8,0.00741638562017585,9.27048202521981e-05,0.00927048202521981,"Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"10","HQ183518.1.1491",0.8,0.0054616809554915,6.82710119436438e-05,0.00682710119436438,"Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"15","LT592136.1.1584",0.275,0.000462828821101101,5.78536026376376e-06,0.000578536026376376,"Chloroplast","uncultured prokaryote","uncultured prokaryote","uncultured prokaryote","Chloroplast","Chloroplast"
"13","KX938022.1.1498",0.0125,9.87250366692993e-05,1.23406295836624e-06,0.000123406295836624,"Chloroplast","uncultured marine eukaryote","uncultured marine eukaryote","uncultured marine eukaryote","Chloroplast","uncultured marine eukaryote"
"8","GQ302541.1.1484",0.0125,5.6414306668171e-05,7.05178833352138e-07,7.05178833352138e-05,"Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"1","AB696344.1.1371",0.0125,4.46960667461263e-05,5.58700834326579e-07,5.58700834326579e-05,"Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"12","KJ410631.1.1248",0.0125,4.23107300011283e-05,5.28884125014104e-07,5.28884125014104e-05,"Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
