sample_id,subplot,plot,plot_loc,cultivar,rep,rep_loc,location,treatment,sample_type,batch
1001r2,1001,1,MSU1,R99,1,MSU1,MSU,shelter,experimental,1
1002r2,1002,1,MSU1,R99,1,MSU1,MSU,open,experimental,1
1003r2,1003,2,MSU2,B18504,1,MSU1,MSU,shelter,experimental,4
1004r2,1004,2,MSU2,B18504,1,MSU1,MSU,open,experimental,4
1005r2,1005,3,MSU3,Cayenne,1,MSU1,MSU,shelter,experimental,4
1006r2,1006,3,MSU3,Cayenne,1,MSU1,MSU,open,experimental,4
1007r2,1007,4,MSU4,Rosetta,1,MSU1,MSU,shelter,experimental,7
1008r2,1008,4,MSU4,Rosetta,1,MSU1,MSU,open,experimental,7
101r2,101,1,UPREC1,B18504,1,UPREC1,UPREC,shelter,experimental,6
102r2,102,1,UPREC1,B18504,1,UPREC1,UPREC,open,experimental,6
103r2,103,2,UPREC2,Rosetta,1,UPREC1,UPREC,shelter,experimental,7
104r2,104,2,UPREC2,Rosetta,1,UPREC1,UPREC,open,experimental,7
105r2,105,3,UPREC3,R99,1,UPREC1,UPREC,shelter,experimental,6
106r2,106,3,UPREC3,R99,1,UPREC1,UPREC,open,experimental,6
107r2,107,4,UPREC4,Cayenne,1,UPREC1,UPREC,shelter,experimental,4
108r2,108,4,UPREC4,Cayenne,1,UPREC1,UPREC,open,experimental,4
2001r2,2001,5,MSU5,Rosetta,2,MSU2,MSU,shelter,experimental,7
2002r2,2002,5,MSU5,Rosetta,2,MSU2,MSU,open,experimental,7
2003r2,2003,6,MSU6,Cayenne,2,MSU2,MSU,shelter,experimental,6
2004r2,2004,6,MSU6,Cayenne,2,MSU2,MSU,open,experimental,6
2005r2,2005,7,MSU7,B18504,2,MSU2,MSU,shelter,experimental,6
2006r2,2006,7,MSU7,B18504,2,MSU2,MSU,open,experimental,6
2007r2,2007,8,MSU8,R99,2,MSU2,MSU,shelter,experimental,6
2008r2,2008,8,MSU8,R99,2,MSU2,MSU,open,experimental,6
201r2,201,5,UPREC5,B18504,2,UPREC2,UPREC,shelter,experimental,5
202r2,202,5,UPREC5,B18504,2,UPREC2,UPREC,open,experimental,5
203r2,203,6,UPREC6,Rosetta,2,UPREC2,UPREC,shelter,experimental,5
204r2,204,6,UPREC6,Rosetta,2,UPREC2,UPREC,open,experimental,5
205r2,205,7,UPREC7,R99,2,UPREC2,UPREC,shelter,experimental,5
206r2,206,7,UPREC7,R99,2,UPREC2,UPREC,open,experimental,5
207r2,207,8,UPREC8,Cayenne,2,UPREC2,UPREC,shelter,experimental,6
208r2,208,8,UPREC8,Cayenne,2,UPREC2,UPREC,open,experimental,6
3001r2,3001,9,MSU9,B18504,3,MSU3,MSU,shelter,experimental,5
3002r2,3002,9,MSU9,B18504,3,MSU3,MSU,open,experimental,5
3003r2,3003,10,MSU10,R99,3,MSU3,MSU,shelter,experimental,5
3004r2,3004,10,MSU10,R99,3,MSU3,MSU,open,experimental,5
3005r2,3005,11,MSU11,Rosetta,3,MSU3,MSU,shelter,experimental,5
3006r2,3006,11,MSU11,Rosetta,3,MSU3,MSU,open,experimental,5
3007r2,3007,12,MSU12,Cayenne,3,MSU3,MSU,shelter,experimental,4
3008r2,3008,12,MSU12,Cayenne,3,MSU3,MSU,open,experimental,4
301r2,301,9,UPREC9,B18504,3,UPREC3,UPREC,shelter,experimental,4
302r2,302,9,UPREC9,B18504,3,UPREC3,UPREC,open,experimental,4
303r2,303,10,UPREC10,Cayenne,3,UPREC3,UPREC,shelter,experimental,4
304r2,304,10,UPREC10,Cayenne,3,UPREC3,UPREC,open,experimental,4
305r2,305,11,UPREC11,R99,3,UPREC3,UPREC,shelter,experimental,7
306r2,306,11,UPREC11,R99,3,UPREC3,UPREC,open,experimental,7
307r2,307,12,UPREC12,Rosetta,3,UPREC3,UPREC,shelter,experimental,7
308r2,308,12,UPREC12,Rosetta,3,UPREC3,UPREC,open,experimental,7
4001r2,4001,9,MSU13,Cayenne,4,MSU4,MSU,shelter,experimental,3
4002r2,4002,9,MSU13,Cayenne,4,MSU4,MSU,open,experimental,3
4003r2,4003,10,MSU14,Rosetta,4,MSU4,MSU,shelter,experimental,3
4004r2,4004,10,MSU14,Rosetta,4,MSU4,MSU,open,experimental,3
4005r2,4005,11,MSU15,R99,4,MSU4,MSU,shelter,experimental,7
4006r2,4006,11,MSU15,R99,4,MSU4,MSU,open,experimental,7
4007r2,4007,12,MSU16,B18504,4,MSU4,MSU,shelter,experimental,2
4008r2,4008,12,MSU16,B18504,4,MSU4,MSU,open,experimental,2
401r2,401,13,UPREC13,Rosetta,4,UPREC4,UPREC,shelter,experimental,3
402r2,402,13,UPREC13,Rosetta,4,UPREC4,UPREC,open,experimental,7
403r2,403,14,UPREC14,R99,4,UPREC4,UPREC,shelter,experimental,1
404r2,404,14,UPREC14,R99,4,UPREC4,UPREC,open,experimental,1
405r2,405,15,UPREC15,Cayenne,4,UPREC4,UPREC,shelter,experimental,3
406r2,406,15,UPREC15,Cayenne,4,UPREC4,UPREC,open,experimental,3
407r2,407,16,UPREC16,B18504,4,UPREC4,UPREC,shelter,experimental,2
408r2,408,16,UPREC16,B18504,4,UPREC4,UPREC,open,experimental,2
