sample_ID,well,sample_name,PF_reads
1,A1,101,
2,B1,102,
3,C1,103,
4,D1,104,
5,E1,105,
6,F1,106,
7,G1,107,
8,H1,108,
9,A2,201,
10,B2,202,
11,C2,203,
12,D2,204,
13,E2,205,
14,F2,206,
15,G2,207,
16,H2,208,
17,A3,301,
18,B3,302,
19,C3,303,
20,D3,304,
21,E3,305,
22,F3,306,
23,G3,307,
24,H3,308,
25,A4,401,
26,B4,402,
27,C4,403,
28,D4,404,
29,E4,405,
30,F4,406,
31,G4,407,
32,H4,408,
33,A5,1001,
34,B5,1002,
35,C5,1003,
36,D5,1004,
37,E5,1005,
38,F5,1006,
39,G5,1007,
40,H5,1008,
41,A6,2001,
42,B6,2002,
43,C6,2003,
44,D6,2004,
45,E6,2005,
46,F6,2006,
47,G6,2007,
48,H6,2008,
49,A7,3001,
50,B7,3002,
51,C7,3003,
52,D7,3004,
53,E7,3005,
54,F7,3006,
55,G7,3007,
56,H7,3008,
57,A8,4001,
58,B8,4002,
59,C8,4003,
60,D8,4004,
61,E8,4005,
62,F8,4006,
63,G8,4007,
64,H8,4008,
65,A9,Mock1,
66,B9,Mock2,
67,C9,Mock3,
68,D9,Mock4,
69,E9,Mock5,
70,F9,Mock6,
71,G9,Mock7,
72,H9,NC1,
73,A10,NC2,
74,B10,NC3,
75,C10,NC4,
76,D10,NC5,
77,E10,NC6,
78,F10,NC7,
