"","OTUID","RTSFNTCr2","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"1","JOGX01000016.105867.107365",1,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomyces","Streptomycetaceae"
"2","KY646001.1.1573",4,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillus","Bacillaceae"
