OTUID	1001r2	1002r2	1003r2	1004r2	1005r2	1006r2	1007r2	1008r2	101r2	102r2	103r2	104r2	105r2	106r2	107r2	108r2	2001r2	2002r2	2003r2	2004r2	2005r2	2006r2	2007r2	2008r2	201r2	202r2	203r2	204r2	205r2	206r2	207r2	208r2	3001r2	3002r2	3003r2	3004r2	3005r2	3006r2	3007r2	3008r2	301r2	302r2	303r2	304r2	305r2	306r2	307r2	308r2	4001r2	4002r2	4003r2	4004r2	4005r2	4006r2	4007r2	4008r2	401r2	402r2	403r2	404r2	405r2	406r2	407r2	408r2	Mock1r2	Mock2r2	Mock3r2	Mock4r2	Mock5r2	Mock6r2	Mock7r2	NC1r2	NC2r2	NC3r2	NC4r2	NC5r2	NC6r2	NC7r2	RTSFNTCr2	ZymoMockDNAr2	taxonomy
0a3cf58d4ca062c13d42c9db4ebcbc53	59501.0	53161.0	69844.0	64393.0	61167.0	75130.0	65308.0	84218.0	78342.0	94122.0	80587.0	61543.0	49507.0	102968.0	77645.0	93677.0	63052.0	69253.0	72822.0	66784.0	64594.0	116865.0	74110.0	76889.0	71631.0	69908.0	116902.0	70015.0	63746.0	94397.0	97584.0	59475.0	73133.0	60182.0	69950.0	59077.0	67564.0	84407.0	71159.0	88473.0	66249.0	55987.0	65031.0	70729.0	59526.0	136046.0	91833.0	74549.0	61346.0	65528.0	68055.0	65851.0	72013.0	127070.0	82791.0	74544.0	70225.0	76326.0	71091.0	71511.0	52386.0	96884.0	63180.0	112961.0	326.0	375.0	350.0	344.0	348.0	546.0	353.0	1094.0	147.0	76.0	20.0	40.0	242.0	2035.0	59.0	94.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast
22f1fa0bdcc19746dee080bcc12a1840	26717.0	14754.0	11151.0	10877.0	18852.0	18982.0	18151.0	23148.0	14630.0	11317.0	24470.0	17498.0	19090.0	26086.0	23090.0	25271.0	22884.0	17469.0	23647.0	18057.0	12881.0	15151.0	20998.0	26695.0	18968.0	7885.0	28259.0	18636.0	20283.0	28280.0	28166.0	23850.0	8051.0	9850.0	20566.0	18319.0	16127.0	19887.0	17191.0	24083.0	14179.0	9512.0	21221.0	21837.0	19050.0	36287.0	30979.0	28008.0	21300.0	10310.0	13442.0	15308.0	19676.0	30237.0	16218.0	15931.0	18143.0	19182.0	22343.0	18285.0	20313.0	20632.0	11010.0	19044.0	102.0	82.0	143.0	107.0	84.0	112.0	103.0	145.0	7.0	0.0	6.0	0.0	0.0	12.0	18.0	33.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Arachis_hypogaea
9b6ed1d4f601b4bdb5e89ba85c4a46bb	10.0	7.0	14.0	22.0	15.0	9.0	10.0	0.0	0.0	0.0	0.0	14.0	0.0	8.0	15.0	0.0	0.0	13.0	0.0	9.0	9.0	0.0	20.0	0.0	22.0	9.0	6.0	15.0	12.0	0.0	10.0	5.0	16.0	0.0	13.0	6.0	0.0	12.0	10.0	0.0	10.0	10.0	0.0	6.0	0.0	11.0	0.0	0.0	11.0	0.0	6.0	0.0	10.0	0.0	12.0	12.0	7.0	0.0	12.0	7.0	12.0	9.0	26.0	0.0	25538.0	25724.0	27438.0	35406.0	37707.0	19013.0	30762.0	773.0	29.0	526.0	33.0	0.0	122.0	3927.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces
d46e2205f0c6ecf67b51f83d111c509c	0.0	0.0	8.0	0.0	0.0	0.0	6.0	0.0	35.0	0.0	12.0	10.0	6.0	0.0	33.0	9.0	0.0	10.0	0.0	9.0	15.0	13.0	0.0	0.0	5.0	10.0	12.0	0.0	0.0	0.0	0.0	6.0	33.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	7.0	10.0	0.0	0.0	0.0	0.0	7.0	0.0	47.0	7.0	8.0	13.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	13.0	13.0	2700.0	14517.0	13494.0	9822.0	7976.0	25268.0	15200.0	224.0	486.0	358.0	141.0	84.0	143.0	1278.0	0.0	9956.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella
a4cbe987942964b584e95e4efab6a176	14.0	7.0	9.0	0.0	0.0	0.0	0.0	0.0	15.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	9.0	0.0	0.0	0.0	0.0	29.0	13.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	14.0	5.0	197.0	17.0	0.0	0.0	0.0	25.0	26806.0	17625.0	17282.0	17535.0	2671.0	1106.0	1157.0	450.0	124.0	60.0	0.0	0.0	0.0	63.0	10.0	14813.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
7ea4b157e51f38c83a0693ce6ea70f53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	5387.0	3020.0	4011.0	1283.0	11700.0	24178.0	19862.0	9.0	58.0	187.0	0.0	0.0	0.0	1867.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Ochrobactrum
65d43491988bfe557da4d86a5ba25dae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	3.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	10.0	894.0	997.0	908.0	1780.0	7451.0	13460.0	10627.0	11.0	0.0	115.0	0.0	0.0	0.0	937.0	0.0	16165.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus
4cbfff144d4e7a4e0f4619ed505be070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3289.0	2553.0	5616.0	4134.0	3828.0	11994.0	7761.0	72.0	0.0	167.0	0.0	0.0	0.0	517.0	0.0	10934.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
ff9d93d7b7e46787568f2d241caeaf3b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	3.0	7.0	0.0	6129.0	16.0	16.0	31.0	3767.0	7908.0	5653.0	28.0	0.0	16.0	0.0	0.0	62.0	405.0	0.0	8402.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
8ae518dbb29595b3f79214be0b589066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12263.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Listeriaceae; g__Listeria
