OTUID	1001	1002	1003	1004	1005	1006	1007	1008	101	102	103	104	105	106	107	108	2001	2002	2003	2004	2005	2006	2007	2008	201	202	203	204	205	206	207	208	3001	3002	3003	3004	3005	3006	3007	3008	301	302	303	304	305	306	307	308	4001	4002	4003	4004	4005	4006	4007	4008	401	402	403	404	405	406	407	408	Mock1	Mock2	Mock3	Mock4	Mock5	Mock6	Mock7	NC1	NC2	NC3	NC4	NC5	NC6	NC7	ZymoMockDNA	taxonomy
ZOTU35	30.0	5.0	2.0	3.0	10.0	7.0	8.0	12.0	13.0	14.0	18.0	8.0	13.0	21.0	2.0	34.0	28.0	12.0	13.0	10.0	6.0	6.0	19.0	31.0	11.0	1.0	9.0	17.0	10.0	21.0	8.0	20.0	0.0	11.0	10.0	5.0	7.0	6.0	5.0	10.0	26.0	5.0	6.0	14.0	4.0	17.0	5.0	10.0	17.0	0.0	8.0	9.0	10.0	13.0	5.0	6.0	8.0	4.0	5.0	7.0	10.0	0.0	6.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria
ZOTU20	43.0	44.0	3.0	12.0	28.0	20.0	7.0	25.0	21.0	17.0	20.0	21.0	37.0	39.0	0.0	30.0	75.0	31.0	24.0	22.0	16.0	7.0	37.0	55.0	17.0	5.0	60.0	39.0	27.0	46.0	23.0	35.0	2.0	8.0	23.0	41.0	45.0	16.0	16.0	12.0	23.0	13.0	38.0	22.0	37.0	38.0	33.0	31.0	35.0	7.0	11.0	14.0	41.0	41.0	32.0	17.0	22.0	52.0	50.0	21.0	40.0	4.0	4.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria
ZOTU32	1.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	3.0	0.0	0.0	0.0	4.0	4.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	8.0	0.0	1.0	0.0	2.0	2.0	0.0	4.0	2.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	152.0	14.0	221.0	48.0	25.0	50.0	55.0	1.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae
ZOTU42	6.0	4.0	0.0	0.0	1.0	3.0	4.0	6.0	4.0	3.0	8.0	4.0	4.0	7.0	0.0	6.0	14.0	4.0	6.0	1.0	9.0	4.0	9.0	9.0	8.0	4.0	4.0	5.0	3.0	8.0	3.0	9.0	0.0	1.0	1.0	4.0	2.0	2.0	4.0	4.0	8.0	2.0	4.0	5.0	2.0	8.0	2.0	5.0	3.0	0.0	1.0	3.0	3.0	4.0	2.0	3.0	10.0	0.0	6.0	2.0	7.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria
ZOTU52	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
ZOTU25	35.0	13.0	0.0	6.0	10.0	12.0	1.0	24.0	11.0	11.0	16.0	19.0	30.0	33.0	3.0	23.0	35.0	7.0	13.0	19.0	7.0	5.0	20.0	54.0	16.0	4.0	14.0	17.0	13.0	6.0	11.0	38.0	4.0	12.0	6.0	18.0	5.0	8.0	5.0	9.0	28.0	6.0	5.0	21.0	14.0	7.0	11.0	12.0	15.0	1.0	1.0	7.0	12.0	22.0	1.0	8.0	6.0	7.0	12.0	10.0	10.0	5.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria
ZOTU55	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	64.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Ochrobactrum
ZOTU93	38.0	9.0	0.0	3.0	15.0	19.0	7.0	15.0	33.0	8.0	28.0	10.0	8.0	28.0	10.0	23.0	44.0	33.0	17.0	17.0	9.0	6.0	22.0	39.0	14.0	1.0	20.0	30.0	9.0	36.0	26.0	26.0	0.0	7.0	24.0	18.0	9.0	18.0	9.0	12.0	30.0	6.0	9.0	15.0	15.0	21.0	24.0	17.0	19.0	8.0	13.0	8.0	23.0	28.0	20.0	9.0	13.0	17.0	15.0	5.0	5.0	1.0	5.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast
ZOTU3	6.0	10.0	6.0	4.0	9.0	4.0	0.0	0.0	2.0	4.0	1.0	3.0	11.0	5.0	7.0	0.0	3.0	8.0	5.0	9.0	8.0	3.0	8.0	1.0	5.0	6.0	4.0	4.0	5.0	2.0	5.0	0.0	15.0	7.0	2.0	3.0	8.0	2.0	3.0	0.0	4.0	7.0	1.0	4.0	4.0	2.0	9.0	0.0	4.0	4.0	0.0	8.0	6.0	2.0	6.0	21.0	2.0	4.0	20.0	8.0	3.0	5.0	8.0	14.0	32856.0	32102.0	33195.0	42587.0	45082.0	23611.0	37561.0	821.0	23.0	548.0	65.0	0.0	119.0	4607.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces
ZOTU43	18.0	5.0	0.0	2.0	3.0	2.0	2.0	9.0	8.0	3.0	10.0	7.0	9.0	20.0	3.0	7.0	13.0	4.0	10.0	2.0	7.0	1.0	8.0	28.0	8.0	1.0	5.0	5.0	7.0	9.0	2.0	16.0	0.0	2.0	4.0	8.0	3.0	1.0	4.0	8.0	5.0	6.0	3.0	12.0	7.0	11.0	8.0	8.0	6.0	3.0	0.0	2.0	3.0	16.0	2.0	1.0	6.0	2.0	5.0	1.0	6.0	3.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria
